id,name,value,session_id,data_set_id
226,buttonPressed,submit,i987,
227,email_address,,i987,
228,isTimeout,0,i987,
229,postcode,,i987,
230,timeTaken,1.808412075,i987,
231,buttonPressed,submit,i929,
232,email_address,,i929,
233,isTimeout,0,i929,
234,postcode,,i929,
235,timeTaken,17.68566608,i929,
236,buttonPressed,submit,i891,
237,email_address,,i891,
238,isTimeout,0,i891,
239,postcode,,i891,
240,timeTaken,16.95633292,i891,
241,buttonPressed,submit,i945,
242,email_address,,i945,
243,isTimeout,0,i945,
244,postcode,5153,i945,
245,timeTaken,18.95050693,i945,
246,buttonPressed,submit,i1010,
247,email_address,,i1010,
248,isTimeout,0,i1010,
249,postcode,,i1010,
250,timeTaken,40.72664785,i1010,
251,buttonPressed,submit,i968,
252,email_address,,i968,
253,isTimeout,0,i968,
254,postcode,,i968,
255,timeTaken,18.70109797,i968,
256,buttonPressed,submit,i999,
257,email_address,,i999,
258,isTimeout,0,i999,
259,postcode,,i999,
260,timeTaken,26.69849014,i999,
261,buttonPressed,submit,i1050,
262,email_address,,i1050,
263,isTimeout,0,i1050,
264,postcode,,i1050,
265,timeTaken,5.409435987,i1050,
266,buttonPressed,submit,i1064,
267,email_address,,i1064,
268,isTimeout,0,i1064,
269,postcode,2620,i1064,
270,timeTaken,13.41744113,i1064,
271,buttonPressed,submit,i1063,
272,email_address,,i1063,
273,isTimeout,0,i1063,
274,postcode,,i1063,
275,timeTaken,64.91352701,i1063,
276,buttonPressed,submit,i1087,
277,email_address,,i1087,
278,isTimeout,0,i1087,
279,postcode,,i1087,
280,timeTaken,15.16080904,i1087,
281,buttonPressed,submit,i1089,
282,email_address,,i1089,
283,isTimeout,0,i1089,
284,postcode,,i1089,
285,timeTaken,15.09277916,i1089,
286,buttonPressed,submit,i1090,
287,email_address,,i1090,
288,isTimeout,0,i1090,
289,postcode,,i1090,
290,timeTaken,14.76688886,i1090,
291,buttonPressed,submit,i1092,
292,email_address,,i1092,
293,isTimeout,0,i1092,
294,postcode,,i1092,
295,timeTaken,3.179738045,i1092,
296,buttonPressed,submit,i1096,
297,email_address,,i1096,
298,isTimeout,0,i1096,
299,postcode,,i1096,
300,timeTaken,50.93825412,i1096,
301,buttonPressed,submit,i1116,
302,email_address,,i1116,
303,isTimeout,0,i1116,
304,postcode,,i1116,
305,timeTaken,28.50988793,i1116,
306,buttonPressed,submit,i1110,
307,email_address,,i1110,
308,isTimeout,0,i1110,
309,postcode,,i1110,
310,timeTaken,28.87106705,i1110,
311,buttonPressed,submit,i1122,
312,email_address,,i1122,
313,isTimeout,0,i1122,
314,postcode,4305,i1122,
315,timeTaken,13.90708995,i1122,
316,buttonPressed,submit,i1126,
317,email_address,,i1126,
318,isTimeout,0,i1126,
319,postcode,3844,i1126,
320,timeTaken,81.00315595,i1126,
321,buttonPressed,submit,i1128,
322,email_address,,i1128,
323,isTimeout,0,i1128,
324,postcode,,i1128,
325,timeTaken,10.64150119,i1128,
326,buttonPressed,submit,i1130,
327,email_address,,i1130,
328,isTimeout,0,i1130,
329,postcode,,i1130,
330,timeTaken,6.668596029,i1130,
331,buttonPressed,submit,i1162,
332,email_address,,i1162,
333,isTimeout,0,i1162,
334,postcode,6375,i1162,
335,timeTaken,26.19276023,i1162,
336,buttonPressed,submit,i1138,
337,email_address,,i1138,
338,isTimeout,0,i1138,
339,postcode,,i1138,
340,timeTaken,14.38698196,i1138,
341,buttonPressed,submit,i1150,
342,email_address,,i1150,
343,isTimeout,0,i1150,
344,postcode,,i1150,
345,timeTaken,11.63480997,i1150,
346,buttonPressed,submit,i1170,
347,email_address,,i1170,
348,isTimeout,0,i1170,
349,postcode,,i1170,
350,timeTaken,10.33860207,i1170,
351,buttonPressed,submit,i1208,
352,email_address,,i1208,
353,isTimeout,0,i1208,
354,postcode,,i1208,
355,timeTaken,43.76635098,i1208,
356,buttonPressed,submit,i1252,
357,email_address,,i1252,
358,isTimeout,0,i1252,
359,postcode,,i1252,
360,timeTaken,12.01467514,i1252,
361,buttonPressed,submit,i1229,
362,email_address,,i1229,
363,isTimeout,0,i1229,
364,postcode,,i1229,
365,timeTaken,11.08302999,i1229,
366,buttonPressed,submit,i1261,
367,email_address,,i1261,
368,isTimeout,0,i1261,
369,postcode,,i1261,
370,timeTaken,14.069489,i1261,
371,buttonPressed,submit,i1262,
372,email_address,,i1262,
373,isTimeout,0,i1262,
374,postcode,,i1262,
375,timeTaken,162.3190269,i1262,
376,buttonPressed,submit,i1244,
377,email_address,,i1244,
378,isTimeout,0,i1244,
379,postcode,,i1244,
380,timeTaken,9.564705849,i1244,
381,buttonPressed,submit,i1243,
382,email_address,,i1243,
383,isTimeout,0,i1243,
384,postcode,,i1243,
385,timeTaken,17.42302418,i1243,
386,buttonPressed,submit,i1256,
387,email_address,,i1256,
388,isTimeout,0,i1256,
389,postcode,3130,i1256,
390,timeTaken,32.37587094,i1256,
