id,age,gender,nationality,device,colour,number,animal,userid,lastletter,firstletter,session
956,26,m,au,laptop,,0,,26maulaptop9016,,,
957,28,m,au,iphone,,0,,28mauiphone9021,,,
958,22,m,au,pc,,0,,22maupc6598,,,
959,38,m,au,iphone,,0,,38mauiphone9855,,,
960,20,f,au,iphone,,0,,20fauiphone3165,,,
961,22,m,au,pc,,0,,22maupc2976,,,
962,28,m,au,iphone,,0,,28mauiphone4166,,,
963,28,m,au,iphone,,0,,28mauiphone1917,,,
964,18,f,au,iphone,,0,,18fauiphone594,,,
965,18,f,au,iphone,,0,,18fauiphone3976,,,
966,26,m,au,pc,,0,,26maupc4292,,,
967,32,m,au,iphone,,0,,32mauiphone41,,,
968,27,f,au,pc,,0,,27faupc2619,,,
969,25,m,au,pc,,0,,25maupc1730,,,
970,20,m,au,pc,,0,,20maupc8541,,,
971,27,m,au,pc,,0,,27maupc4486,,,
972,25,m,au,pc,,0,,25maupc6662,,,
973,36,m,au,iphone,,0,,36mauiphone4823,,,
974,33,f,au,galaxy,,0,,33faugalaxy5380,,,
975,21,f,au,iphone,,0,,21fauiphone4881,,,
976,24,m,au,pc,,0,,24maupc9153,,,
977,19,m,as,galaxy,,0,,19masgalaxy4003,,,
978,19,m,eu,galaxy,,0,,19meugalaxy8105,,,
979,19,m,au,otherphone,,0,,19mauotherphone4384,,,
980,19,f,au,iphone,,0,,19fauiphone1885,,,
981,24,f,au,iphone,,0,,24fauiphone7852,,,
982,21,m,au,laptop,,0,,21maulaptop2210,,,
983,23,m,au,galaxy,,0,,23maugalaxy531,,,
984,33,m,au,pc,,0,,33maupc991,,,
985,24,f,au,iphone,,0,,24fauiphone625,,,
986,29,m,au,iphone,,0,,29mauiphone570,,,
987,20,f,au,laptop,,0,,20faulaptop8268,,,
988,24,f,au,iphone,,0,,24fauiphone9645,,,
989,24,m,au,otherphone,,0,,24mauotherphone67,,,
990,21,m,au,pc,,0,,21maupc5267,,,
991,21,m,au,otherphone,,0,,21mauotherphone4090,,,
992,40,m,au,laptop,,0,,40maulaptop9896,,,
993,18,m,au,pc,,0,,18maupc6819,,,
994,33,f,nz,otherphone,,0,,33fnzotherphone7959,,,
995,35,f,au,iphone,,0,,35fauiphone8924,,,
996,27,f,au,laptop,,0,,27faulaptop5295,,,
997,20,m,au,iphone,,0,,20mauiphone7476,,,
998,33,f,au,iphone,,0,,33fauiphone8900,,,
999,22,m,au,laptop,,0,,22maulaptop3510,,,
1000,37,m,au,pc,,0,,37maupc491,,,
1001,26,m,au,pc,,0,,26maupc1450,,,
1002,39,m,au,iphone,,0,,39mauiphone308,,,
1003,33,m,au,galaxy,,0,,33maugalaxy8485,,,
1004,17,m,nz,iphone,,0,,17mnziphone463,,,
1005,21,m,au,pc,,0,,21maupc81,,,
1006,20,m,as,otherphone,,0,,20masotherphone3534,,,
1007,38,m,au,iphone,,0,,38mauiphone3913,,,
1008,18,f,au,iphone,,0,,18fauiphone1467,,,
1009,21,f,af,iphone,,0,,21fafiphone4106,,,
1010,36,f,au,pc,,0,,36faupc4269,,,
1011,59,m,au,laptop,,0,,59maulaptop2570,,,
1012,20,m,au,iphone,,0,,20mauiphone6680,,,
1013,25,m,au,pc,,0,,25maupc4722,,,
1014,25,m,au,laptop,,0,,25maulaptop3635,,,
1015,20,m,au,laptop,,0,,20maulaptop1537,,,
1016,24,f,au,laptop,,0,,24faulaptop3109,,,
1017,25,pnts,pnts,pnts,,0,,25pntspntspnts2456,,,
1018,23,m,au,laptop,,0,,23maulaptop4995,,,
1019,19,f,au,iphone,,0,,19fauiphone819,,,
1020,28,m,au,pc,,0,,28maupc524,,,
1021,22,m,au,laptop,,0,,22maulaptop5006,,,
1022,22,f,na,laptop,,0,,22fnalaptop5026,,,
1023,18,f,au,iphone,,0,,18fauiphone9270,,,
1024,21,f,au,surface,,0,,21fausurface7976,,,
1025,34,f,au,laptop,,0,,34faulaptop2021,,,
1026,19,f,au,iphone,,0,,19fauiphone3268,,,
1027,18,m,eu,surface,,0,,18meusurface3249,,,
1028,27,f,na,laptop,,0,,27fnalaptop1693,,,
1029,26,f,au,iphone,,0,,26fauiphone7945,,,
1030,29,m,au,pc,,0,,29maupc673,,,
1031,29,m,au,pc,,0,,29maupc10,,,
1032,24,m,au,otherphone,,0,,24mauotherphone696,,,
1033,18,f,au,iphone,,0,,18fauiphone5757,,,
1034,22,m,au,pc,,0,,22maupc9651,,,
1035,18,f,au,laptop,,0,,18faulaptop8128,,,
1036,18,m,au,iphone,,0,,18mauiphone7148,,,
1037,29,m,au,pc,,0,,29maupc3074,,,
1038,22,m,au,pc,,0,,22maupc4316,,,
1039,24,f,sa,pc,,0,,24fsapc360,,,
1040,22,f,au,iphone,,0,,22fauiphone1277,,,
1041,26,f,au,laptop,,0,,26faulaptop1865,,,
1042,30,f,au,pc,,0,,30faupc926,,,
1043,38,m,au,laptop,,0,,38maulaptop2745,,,
1044,24,f,sa,pc,,0,,24fsapc8203,,,
1045,22,m,au,pc,,0,,22maupc6371,,,
1046,31,f,au,iphone,,0,,31fauiphone5179,,,
1047,27,m,au,pc,,0,,27maupc1050,,,
1048,22,m,au,laptop,,0,,22maulaptop9221,,,
1049,27,m,au,pc,,0,,27maupc4470,,,
1050,33,m,as,pc,,0,,33maspc2554,,,
1051,34,f,au,laptop,,0,,34faulaptop5151,,,
1052,21,m,au,iphone,,0,,21mauiphone5488,,,
1053,36,m,au,laptop,,0,,36maulaptop615,,,
1054,21,m,au,pc,,0,,21maupc6922,,,
1055,20,m,au,pc,,0,,20maupc4037,,,
1056,19,f,au,surface,,0,,19fausurface6720,,,
1057,30,m,af,pc,,0,,30mafpc4917,,,
1058,18,m,au,iphone,,0,,18mauiphone5405,,,
1059,37,m,au,iphone,,0,,37mauiphone5947,,,
1060,18,f,au,laptop,,0,,18faulaptop684,,,
1061,19,m,na,iphone,,0,,19mnaiphone9978,,,
1062,36,m,au,galaxy,,0,,36maugalaxy7271,,,
1063,38,m,au,iphone,,0,,38mauiphone3781,,,
1064,34,f,au,laptop,,0,,34faulaptop4611,,,
1065,18,f,au,laptop,,0,,18faulaptop2059,,,
1066,22,f,au,laptop,,0,,22faulaptop169,,,
1067,21,m,au,laptop,,0,,21maulaptop4008,,,
1068,37,m,au,iphone,,0,,37mauiphone1917,,,
1069,34,pnts,au,galaxy,,0,,34pntsaugalaxy8504,,,
1070,33,f,au,pc,,0,,33faupc5604,,,
1071,33,m,au,otherphone,,0,,33mauotherphone6719,,,
1072,18,m,au,iphone,,0,,18mauiphone7201,,,
1073,25,m,au,pc,,0,,25maupc701,,,
1074,19,f,au,iphone,,0,,19fauiphone236,,,
1075,21,m,au,iphone,,0,,21mauiphone9343,,,
1076,20,m,au,laptop,,0,,20maulaptop7111,,,
1077,20,m,au,iphone,,0,,20mauiphone1682,,,
1078,21,m,au,pc,,0,,21maupc1055,,,
1079,22,m,au,laptop,,0,,22maulaptop7963,,,
1080,36,f,au,iphone,,0,,36fauiphone8681,,,
1081,21,m,au,pc,,0,,21maupc6350,,,
1082,31,m,au,pc,,0,,31maupc7850,,,
1083,33,m,eu,pc,,0,,33meupc2410,,,
1084,32,f,au,laptop,,0,,32faulaptop3667,,,
1085,40,m,na,pc,,0,,40mnapc4054,,,
1086,26,m,au,galaxy,,0,,26maugalaxy1533,,,
1087,18,f,au,pixel,,0,,18faupixel9463,,,
1088,27,o,au,pc,,0,,27oaupc1685,,,
1089,31,m,au,pc,,0,,31maupc643,,,
1090,20,m,au,pc,,0,,20maupc9610,,,
1091,31,m,au,pc,,0,,31maupc9803,,,
1092,24,m,au,laptop,,0,,24maulaptop3825,,,
1093,27,o,au,pc,,0,,27oaupc9862,,,
1094,34,m,au,pc,,0,,34maupc55,,,
1095,22,m,au,iphone,,0,,22mauiphone4169,,,
1096,26,f,au,laptop,,0,,26faulaptop6298,,,
1097,39,m,au,iphone,,0,,39mauiphone4147,,,
1098,27,f,au,laptop,,0,,27faulaptop7260,,,
1099,20,m,au,laptop,,0,,20maulaptop4935,,,
1100,25,f,au,ipad,,0,,25fauipad8870,,,
1101,19,m,au,pc,,0,,19maupc8312,,,
1102,29,pnts,au,iphone,,0,,29pntsauiphone6944,,,
1103,18,f,au,pc,,0,,18faupc9511,,,
1104,18,m,au,iphone,,0,,18mauiphone8964,,,
1105,37,f,au,iphone,,0,,37fauiphone9240,,,
1106,37,f,au,iphone,,0,,37fauiphone8630,,,
1107,20,f,au,laptop,,0,,20faulaptop1115,,,
1108,29,m,au,pc,,0,,29maupc9422,,,
1109,20,f,au,laptop,,0,,20faulaptop9191,,,
1110,27,f,au,laptop,,0,,27faulaptop5352,,,
1111,20,m,au,laptop,,0,,20maulaptop1224,,,
1112,36,m,au,laptop,,0,,36maulaptop8871,,,
1113,39,f,as,pc,,0,,39faspc1566,,,
1114,37,m,au,pc,,0,,37maupc7757,,,
1115,35,m,au,pc,,0,,35maupc565,,,
1116,18,m,au,iphone,,0,,18mauiphone6509,,,
1117,37,f,au,laptop,,0,,37faulaptop9155,,,
1118,63,m,au,pc,,0,,63maupc3212,,,
1119,23,m,au,laptop,,0,,23maulaptop512,,,
1120,21,m,au,pc,,0,,21maupc2635,,,
1121,23,m,au,pc,,0,,23maupc7355,,,
1122,39,f,au,iphone,,0,,39fauiphone5626,,,
1123,21,m,au,otherphone,,0,,21mauotherphone7566,,,
1124,25,m,au,surface,,0,,25mausurface296,,,
1125,40,m,au,pc,,0,,40maupc5547,,,
1126,52,m,au,laptop,maroon,7,d,52maulaptopmaroon7dwt,w,t,
1127,23,m,au,otherphone,,0,,23mauotherphone2305,,,
1128,38,f,au,iphone,,0,,38fauiphone562,,,
1129,27,f,au,iphone,,0,,27fauiphone1294,,,
1130,30,f,au,laptop,,0,,30faulaptop9228,,,
1131,21,m,as,iphone,,0,,21masiphone5401,,,
1132,40,m,au,iphone,,0,,40mauiphone8121,,,
1133,22,f,au,iphone,,0,,22fauiphone893,,,
1134,19,m,au,ipad,,0,,19mauipad8892,,,
1135,32,f,au,iphone,,0,,32fauiphone423,,,
1136,28,m,au,laptop,,0,,28maulaptop7087,,,
1137,20,m,au,otherphone,,0,,20mauotherphone173,,,
1138,36,f,au,iphone,,0,,36fauiphone3613,,,
1139,21,m,au,galaxy,,0,,21maugalaxy7347,,,
1140,66,m,au,galaxy,,0,,66maugalaxy4159,,,
1141,40,m,au,iphone,,0,,40mauiphone4713,,,
1142,26,m,au,galaxy,,0,,26maugalaxy2877,,,
1143,34,f,as,iphone,,0,,34fasiphone8348,,,
1144,23,m,au,pc,,0,,23maupc4507,,,
1145,66,m,au,galaxy,,0,,66maugalaxy4033,,,
1146,40,f,au,otherphone,,0,,40fauotherphone1527,,,
1147,27,f,au,laptop,,0,,27faulaptop7181,,,
1148,31,m,au,pc,,0,,31maupc7911,,,
1149,28,m,au,ipad,,0,,28mauipad6631,,,
1150,21,f,au,iphone,,0,,21fauiphone6176,,,
1151,32,f,au,iphone,,0,,32fauiphone1778,,,
1152,23,f,au,otherphone,,0,,23fauotherphone3486,,,
1153,39,m,au,galaxy,,0,,39maugalaxy3723,,,
1154,28,m,au,ipad,,0,,28mauipad3639,,,
1155,19,f,au,laptop,,0,,19faulaptop4157,,,
1156,27,f,au,otherphone,,0,,27fauotherphone3355,,,
1157,25,m,au,laptop,,0,,25maulaptop668,,,
1158,28,m,au,iphone,,0,,28mauiphone547,,,
1159,34,m,au,pc,,0,,34maupc6965,,,
1160,30,f,au,iphone,,0,,30fauiphone206,,,
1161,21,m,au,iphone,,0,,21mauiphone5180,,,
1162,30,f,au,pc,,0,,30faupc1577,,,
1163,26,m,au,iphone,,0,,26mauiphone4805,,,
1164,30,m,au,iphone,,0,,30mauiphone6658,,,
1165,25,m,au,pc,,0,,25maupc64,,,
1166,37,m,au,iphone,,0,,37mauiphone283,,,
1167,23,f,au,iphone,,0,,23fauiphone903,,,
1168,39,m,au,iphone,,0,,39mauiphone2057,,,
1169,22,f,au,iphone,,0,,22fauiphone4759,,,
1170,20,f,au,pc,,0,,20faupc7624,,,
1171,30,m,au,pc,,0,,30maupc7899,,,
1172,22,m,au,otherphone,,0,,22mauotherphone642,,,
1173,25,m,au,otherphone,,0,,25mauotherphone2991,,,
1174,60,f,au,ipad,,0,,60fauipad7160,,,
1175,29,m,au,laptop,,0,,29maulaptop8260,,,
1176,33,m,au,pc,,0,,33maupc3026,,,
1177,35,m,au,iphone,,0,,35mauiphone5814,,,
1178,20,m,au,pc,,0,,20maupc5279,,,
1179,33,m,eu,pc,,0,,33meupc8099,,,
1180,18,f,au,pc,,0,,18faupc7407,,,
1181,20,m,au,iphone,,0,,20mauiphone5074,,,
1182,20,m,au,galaxy,,0,,20maugalaxy1854,,,
1183,29,m,au,laptop,,0,,29maulaptop1980,,,
1184,23,f,au,pc,,0,,23faupc2456,,,
1185,29,m,au,laptop,,0,,29maulaptop8670,,,
1186,20,f,au,laptop,,0,,20faulaptop5331,,,
1187,21,m,au,pc,,0,,21maupc4885,,,
1188,40,m,au,galaxy,,0,,40maugalaxy5465,,,
1189,27,m,au,galaxy,,0,,27maugalaxy807,,,
1190,26,f,au,laptop,,0,,26faulaptop5161,,,
1191,21,m,au,laptop,,0,,21maulaptop2942,,,
1192,30,f,au,laptop,,0,,30faulaptop8204,,,
1193,26,m,au,otherphone,,0,,26mauotherphone8481,,,
1194,30,f,au,laptop,,0,,30faulaptop6418,,,
1195,25,o,au,otherphone,,0,,25oauotherphone2537,,,
1196,18,m,au,laptop,,0,,18maulaptop1470,,,
1197,39,m,nz,laptop,,0,,39mnzlaptop5680,,,
1198,30,m,au,pc,,0,,30maupc5436,,,
1199,19,m,au,iphone,,0,,19mauiphone5050,,,
1200,19,f,au,iphone,,0,,19fauiphone9041,,,
1201,20,m,eu,otherphone,,0,,20meuotherphone461,,,
1202,26,f,au,laptop,,0,,26faulaptop7188,,,
1203,33,m,au,otherphone,,0,,33mauotherphone5772,,,
1204,28,m,au,pc,,0,,28maupc8043,,,
1205,24,pnts,au,pc,,0,,24pntsaupc6319,,,
1206,22,m,au,iphone,,0,,22mauiphone1268,,,
1207,33,m,au,pixel,,0,,33maupixel1619,,,
1208,21,m,au,pc,,0,,21maupc3270,,,
1209,23,f,au,laptop,,0,,23faulaptop9870,,,
1210,22,pnts,au,otherphone,,0,,22pntsauotherphone5644,,,
1211,21,m,au,pc,,0,,21maupc6373,,,
1212,20,m,as,pc,,0,,20maspc3930,,,
1213,35,m,au,laptop,,0,,35maulaptop3396,,,
1214,25,m,au,pc,,0,,25maupc5818,,,
1215,40,m,au,galaxy,,0,,40maugalaxy4353,,,
1216,35,f,au,laptop,,0,,35faulaptop6445,,,
1217,18,f,au,iphone,,0,,18fauiphone5447,,,
1218,17,f,au,pc,,0,,17faupc9842,,,
1219,22,m,au,iphone,,0,,22mauiphone1033,,,
1220,21,m,au,pixel,,0,,21maupixel8430,,,
1221,20,m,au,iphone,,0,,20mauiphone1542,,,
1222,24,f,au,laptop,,0,,24faulaptop6714,,,
1223,18,m,au,galaxy,,0,,18maugalaxy1788,,,
1224,19,m,au,galaxy,,0,,19maugalaxy9955,,,
1225,28,pnts,au,pc,,0,,28pntsaupc6390,,,
1226,35,m,au,pc,,0,,35maupc7624,,,
1227,40,m,au,iphone,,0,,40mauiphone1685,,,
1228,37,m,au,pc,,0,,37maupc1883,,,
1229,29,m,au,pc,,0,,29maupc4762,,,
1230,18,m,au,pc,,0,,18maupc8124,,,
1231,40,,,,,0,,404563,,,
1232,48,m,au,pc,,0,,48maupc2695,,,
1233,27,m,au,laptop,,0,,27maulaptop2408,,,
1234,18,m,au,pc,,0,,18maupc5178,,,
1235,20,f,au,galaxy,,0,,20faugalaxy535,,,
1236,27,m,au,pc,,0,,27maupc9226,,,
1237,23,m,au,laptop,,0,,23maulaptop6905,,,
1238,47,m,au,iphone,,0,,47mauiphone6733,,,
1239,29,m,au,pc,,0,,29maupc5601,,,
1240,20,f,au,iphone,,0,,20fauiphone969,,,
1241,22,m,au,galaxy,,0,,22maugalaxy5958,,,
1242,20,m,au,galaxy,,0,,20maugalaxy3093,,,
1243,32,f,au,pc,,0,,32faupc6628,,,
1244,28,f,au,iphone,,0,,28fauiphone137,,,
1245,29,m,au,galaxy,,0,,29maugalaxy1685,,,
1246,19,m,au,iphone,,0,,19mauiphone9576,,,
1247,31,m,ca,galaxy,,0,,31mcagalaxy4058,,,
1248,40,m,au,pc,,0,,40maupc9653,,,
1249,25,m,au,iphone,,0,,25mauiphone33,,,
1250,23,m,au,pc,,0,,23maupc3885,,,
1251,31,m,au,pc,,0,,31maupc5126,,,
1252,24,m,au,pc,,0,,24maupc9039,,,
1253,37,m,au,pc,,0,,37maupc3341,,,
1254,29,m,au,pc,,0,,29maupc3431,,,
1255,28,m,au,iphone,,0,,28mauiphone3747,,,
1256,32,m,au,laptop,,0,,32maulaptop9151,,,
1257,41,f,eu,iphone,,0,,41feuiphone9203,,,
1258,23,m,au,laptop,,0,,23maulaptop9648,,,
1259,24,m,au,iphone,,0,,24mauiphone7928,,,
1260,21,f,au,galaxy,,0,,21faugalaxy1698,,,
1261,23,m,as,pc,,0,,23maspc2825,,,
1262,23,m,au,pc,,0,,23maupc9381,,,
1263,29,m,au,pc,,0,,29maupc2887,,,
1264,21,m,au,otherphone,,0,,21mauotherphone4728,,,
1265,20,f,au,iphone,,0,,20fauiphone9416,,,
1266,26,m,au,iphone,,0,,26mauiphone9797,,,
1267,23,m,au,galaxy,,0,,23maugalaxy377,,,
1268,35,m,au,iphone,,0,,35mauiphone9978,,,
1269,45,f,eu,laptop,,0,,45feulaptop1157,,,
1270,22,m,au,iphone,,0,,22mauiphone4657,,,
1271,38,f,au,ipad,,0,,38fauipad6370,,,
1272,36,m,au,ipad,,0,,36mauipad5241,,,
1273,39,m,au,iphone,,0,,39mauiphone3717,,,
1274,38,m,au,pc,,0,,38maupc3880,,,
1275,38,f,au,ipad,,0,,38fauipad5357,,,
1276,30,f,au,iphone,,0,,30fauiphone7448,,,
1277,32,f,au,iphone,,0,,32fauiphone8248,,,
1278,19,m,as,galaxy,,0,,19masgalaxy610,,,
1279,20,m,au,iphone,,0,,20mauiphone9509,,,
1280,26,m,au,pc,,0,,26maupc1025,,,
1281,65,f,au,laptop,,0,,65faulaptop5450,,,
1282,26,m,au,pc,,0,,26maupc8818,,,
1283,22,m,au,galaxy,,0,,22maugalaxy307,,,
1284,40,m,au,otherphone,,0,,40mauotherphone4514,,,
1285,30,m,au,galaxy,,0,,30maugalaxy2882,,,
1286,33,m,au,iphone,,0,,33mauiphone6234,,,
1287,36,f,au,iphone,,0,,36fauiphone5839,,,
1288,31,o,au,iphone,,0,,31oauiphone9391,,,
1289,19,o,au,galaxy,,0,,19oaugalaxy1971,,,
1290,31,f,au,iphone,,0,,31fauiphone6848,,,
1291,26,m,au,pc,,0,,26maupc8693,,,
1292,26,m,au,pc,,0,,26maupc1008,,,
1293,24,f,au,pc,,0,,24faupc1178,,,
1294,26,m,au,pc,,0,,26maupc9028,,,
1295,18,m,au,iphone,,0,,18mauiphone125,,,
1296,27,m,au,otherphone,,0,,27mauotherphone4674,,,
1297,39,m,au,laptop,,0,,39maulaptop3723,,,
1298,30,m,au,ipad,,0,,30mauipad3414,,,
1299,19,m,au,iphone,,0,,19mauiphone5466,,,
1300,47,m,au,pc,,0,,47maupc2236,,,
1301,33,f,au,iphone,,0,,33fauiphone2029,,,
1302,20,m,au,ipad,,0,,20mauipad3017,,,
1303,20,m,au,ipad,,0,,20mauipad3495,,,
1304,31,f,au,iphone,,0,,31fauiphone2378,,,
1305,38,f,na,laptop,,0,,38fnalaptop340,,,
1306,26,m,na,galaxy,,0,,26mnagalaxy3096,,,
1307,18,m,au,iphone,,0,,18mauiphone9599,,,
1308,26,m,au,iphone,,0,,26mauiphone3649,,,
1309,78,f,au,pc,,0,,78faupc5315,,,
1310,26,f,au,laptop,,0,,26faulaptop194,,,
1311,23,m,au,pc,,0,,23maupc9741,,,
1312,22,m,au,pixel,,0,,22maupixel2191,,,
1313,33,m,au,pc,,0,,33maupc6246,,,
1314,19,m,au,galaxy,,0,,19maugalaxy4622,,,
1315,18,m,au,iphone,,0,,18mauiphone7319,,,
1316,21,f,me,iphone,,0,,21fmeiphone4116,,,
1317,33,f,au,iphone,,0,,33fauiphone4420,,,
1318,18,o,au,iphone,,0,,18oauiphone6604,,,
1319,30,m,au,otherphone,,0,,30mauotherphone1899,,,
1320,29,m,au,galaxy,,0,,29maugalaxy8510,,,
1321,33,m,au,iphone,,0,,33mauiphone5783,,,
1322,34,f,au,iphone,,0,,34fauiphone1846,,,
1323,18,m,au,iphone,,0,,18mauiphone7934,,,
1324,29,m,au,ipad,,0,,29mauipad7910,,,
1325,24,m,as,pc,,0,,24maspc708,,,
1326,31,m,au,pc,,0,,31maupc4138,,,
1327,19,m,au,iphone,,0,,19mauiphone1729,,,
1328,21,m,au,iphone,,0,,21mauiphone8622,,,
1329,33,m,au,pc,,0,,33maupc6327,,,
1330,29,m,au,pc,,0,,29maupc6639,,,
1331,22,m,au,pnts,,0,,22maupnts3007,,,
1332,18,f,au,ipad,,0,,18fauipad1144,,,
1333,19,m,as,iphone,,0,,19masiphone7538,,,
1334,27,m,au,laptop,,0,,27maulaptop3097,,,
1335,33,m,au,pc,,0,,33maupc7434,,,
1336,18,m,au,pixel,,0,,18maupixel3424,,,
1337,25,m,au,pixel,,0,,25maupixel8042,,,
1338,28,m,au,iphone,,0,,28mauiphone8527,,,
1339,18,f,au,iphone,,0,,18fauiphone9268,,,
1340,19,m,as,iphone,,0,,19masiphone2691,,,
1341,23,f,au,iphone,,0,,23fauiphone1530,,,
1342,33,m,au,laptop,,0,,33maulaptop5358,,,
1343,21,m,au,laptop,,0,,21maulaptop4606,,,
1344,21,m,au,iphone,,0,,21mauiphone5306,,,
1345,19,m,eu,iphone,,0,,19meuiphone4774,,,
1346,32,m,au,iphone,,0,,32mauiphone3067,,,
1347,25,m,au,pixel,,0,,25maupixel3130,,,
1348,40,m,nz,iphone,,0,,40mnziphone831,,,
1349,18,m,au,iphone,,0,,18mauiphone8844,,,
1350,40,m,au,pc,,0,,40maupc6628,,,
1351,36,m,au,laptop,,0,,36maulaptop728,,,
1352,30,m,au,pixel,,0,,30maupixel9564,,,
1353,23,f,au,laptop,,0,,23faulaptop7285,,,
1354,20,m,au,iphone,,0,,20mauiphone8264,,,
1355,18,m,au,iphone,,0,,18mauiphone3970,,,
1356,24,f,au,otherphone,,0,,24fauotherphone2212,,,
1357,38,f,au,laptop,,0,,38faulaptop8252,,,
1358,24,m,au,galaxy,,0,,24maugalaxy7612,,,
1359,30,m,au,pc,,0,,30maupc6092,,,
1360,24,m,au,iphone,,0,,24mauiphone8168,,,
1361,19,m,as,laptop,,0,,19maslaptop7619,,,
1362,22,m,au,iphone,,0,,22mauiphone2186,,,
1363,31,m,au,pc,,0,,31maupc1641,,,
1364,29,m,au,pc,,0,,29maupc3346,,,
1365,35,m,au,pc,,0,,35maupc5187,,,
1366,20,m,au,pc,,0,,20maupc1537,,,
1367,20,m,au,iphone,,0,,20mauiphone5638,,,
1368,20,m,au,pc,,0,,20maupc7596,,,
1369,24,f,au,otherphone,,0,,24fauotherphone9211,,,
1370,21,f,au,iphone,,0,,21fauiphone763,,,
1371,29,m,au,iphone,,0,,29mauiphone37,,,
1372,27,f,nz,iphone,,0,,27fnziphone1130,,,
1373,24,m,au,iphone,,0,,24mauiphone4776,,,
1374,38,m,au,laptop,,0,,38maulaptop4867,,,
1375,21,f,au,iphone,,0,,21fauiphone6796,,,
1376,20,m,au,pc,,0,,20maupc8678,,,
1377,19,f,au,iphone,,0,,19fauiphone5969,,,
1378,31,m,au,pc,,0,,31maupc8393,,,
1379,19,m,au,pc,,0,,19maupc1179,,,
1380,34,f,au,iphone,,0,,34fauiphone9048,,,
1381,18,m,au,galaxy,,0,,18maugalaxy2716,,,
1382,31,m,au,pc,,0,,31maupc8415,,,
1383,25,m,au,pc,,0,,25maupc6235,,,
1384,18,f,au,iphone,,0,,18fauiphone9233,,,
1385,32,m,au,iphone,,0,,32mauiphone7118,,,
1386,31,f,au,galaxy,,0,,31faugalaxy5962,,,
1387,26,f,au,iphone,,0,,26fauiphone9875,,,
1388,20,m,au,pc,,0,,20maupc6558,,,
1389,60,f,au,pc,,0,,60faupc128,,,
1390,18,f,au,galaxy,,0,,18faugalaxy3761,,,
1391,36,m,au,laptop,,0,,36maulaptop4635,,,
1392,39,m,au,galaxy,,0,,39maugalaxy5157,,,
1393,26,f,au,iphone,,0,,26fauiphone5994,,,
1394,38,f,au,iphone,,0,,38fauiphone4747,,,
1395,22,m,au,pc,,0,,22maupc690,,,
1396,26,o,au,pc,,0,,26oaupc9198,,,
1397,19,m,au,pc,,0,,19maupc7089,,,
1398,19,m,as,laptop,,0,,19maslaptop8204,,,
1399,22,m,af,iphone,,0,,22mafiphone2733,,,
1400,22,m,au,iphone,,0,,22mauiphone139,,,
1401,19,f,au,otherphone,,0,,19fauotherphone6425,,,
1402,19,f,au,iphone,,0,,19fauiphone1726,,,
1403,32,m,au,galaxy,,0,,32maugalaxy1738,,,
1404,21,m,au,iphone,,0,,21mauiphone9367,,,
1405,33,f,au,iphone,,0,,33fauiphone3332,,,
1406,20,f,au,otherphone,,0,,20fauotherphone4762,,,
1407,20,m,au,galaxy,,0,,20maugalaxy863,,,
1408,20,m,eu,galaxy,,0,,20meugalaxy257,,,
1409,33,m,au,iphone,,0,,33mauiphone4857,,,
1410,19,m,au,iphone,,0,,19mauiphone248,,,
1411,18,m,au,iphone,,0,,18mauiphone8499,,,
1412,32,m,au,pixel,,0,,32maupixel2862,,,
1413,38,f,au,iphone,,0,,38fauiphone7609,,,
1414,26,pnts,oc,otherphone,,0,,26pntsocotherphone5412,,,
1415,40,f,sa,iphone,,0,,40fsaiphone1612,,,
1416,38,f,au,iphone,,0,,38fauiphone3256,,,
1417,40,m,as,galaxy,,0,,40masgalaxy5633,,,
1418,18,m,au,iphone,,0,,18mauiphone9721,,,
1419,19,f,au,iphone,,0,,19fauiphone1442,,,
1420,26,f,au,iphone,,0,,26fauiphone5215,,,
1421,25,m,au,ipad,,0,,25mauipad8027,,,
1422,26,f,au,iphone,,0,,26fauiphone7018,,,
1423,26,f,au,iphone,,0,,26fauiphone4732,,,
1424,36,m,au,iphone,,0,,36mauiphone9112,,,
1425,35,m,na,otherphone,,0,,35mnaotherphone1545,,,
1426,20,m,au,iphone,,0,,20mauiphone1848,,,
1427,36,m,au,otherphone,,0,,36mauotherphone3979,,,
1428,22,m,au,iphone,,0,,22mauiphone7873,,,
1429,18,m,au,galaxy,,0,,18maugalaxy5610,,,
1430,21,f,au,galaxy,,0,,21faugalaxy8279,,,
1431,25,m,au,galaxy,,0,,25maugalaxy9222,,,
1432,33,m,au,iphone,,0,,33mauiphone5768,,,
1433,31,m,au,iphone,,0,,31mauiphone3499,,,
1434,22,pnts,eu,pc,,0,,22pntseupc9547,,,
1435,31,m,au,iphone,,0,,31mauiphone9655,,,
1436,36,f,au,iphone,,0,,36fauiphone4076,,,
1437,31,m,au,laptop,,0,,31maulaptop9822,,,
1438,35,m,au,iphone,,0,,35mauiphone8114,,,
1439,35,f,au,iphone,,0,,35fauiphone8146,,,
1440,19,m,au,iphone,,0,,19mauiphone4255,,,
1441,32,m,au,iphone,,0,,32mauiphone521,,,
1442,18,m,au,iphone,,0,,18mauiphone2255,,,
1443,18,m,au,pixel,,0,,18maupixel6321,,,
1444,25,f,au,laptop,,0,,25faulaptop2094,,,
1445,23,pnts,au,iphone,,0,,23pntsauiphone1372,,,
1446,54,f,eu,ipad,,0,,54feuipad9769,,,
