id,age,gender,nationality,device,colour,number,animal,userid,lastletter,firstletter,session
614,62,f,au,laptop,navy,62,d,62faulaptopnavy62dsc,s,c,
615,61,m,na,laptop,green,69,n,61mnalaptopgreen69ncp,c,p,
616,67,m,au,pc,blue,9,c,67maupcblue9chs,h,s,
617,10,pnts,pnts,pnts,pnts,1,pnts,10pntspntspntspnts1pntsSS,S,S,
618,48,m,au,pc,green,1,d,48maupcgreen1dtc,t,c,
619,68,f,nz,laptop,purple,68,d,68fnzlaptoppurple68dnc,n,c,
620,72,m,eu,laptop,red,7,d,72meulaptopred7deo,e,o,
621,57,m,au,pc,black,69,b,57maupcblack69blc,l,c,
622,68,m,au,laptop,blue,23,d,68maulaptopblue23ddm,d,m,
623,67,f,au,laptop,green,7,c,67faulaptopgreen7cfa,f,a,
624,65,f,au,galaxy,white,1,d,65faugalaxywhite1dCS,C,S,
625,65,f,au,galaxy,white,1,d,65faugalaxywhite1dCS,C,S,
626,57,m,au,pc,purple,4,d,57maupcpurple4drg,r,g,
627,78,f,au,laptop,purple,7,b,78faulaptoppurple7bta,t,a,
628,59,f,au,ipad,green,19,c,59fauipadgreen19cNC,N,C,
629,69,f,au,laptop,teal,18,d,69faulaptopteal18dFT,F,T,
630,41,f,au,pc,purple,20,b,41faupcpurple20bKC,K,C,
631,60,m,au,laptop,red,7,n,60maulaptopred7nrp,r,p,
632,60,m,au,laptop,azure,42,d,60maulaptopazure42dgc,g,c,
633,60,m,au,pc,black,1,c,60maupcblack1cll,l,l,
634,71,f,au,laptop,teal,46,d,71faulaptopteal46dnc,n,c,
635,60,f,au,pc,blue,60,d,60faupcblue60ddc,d,c,
636,53,f,au,laptop,red,69,d,53faulaptopred69dna,n,a,
637,21,m,au,laptop,charcoal,3,d,21maulaptopcharcoal3dtp,t,p,
638,59,f,au,laptop,purple,30,d,59faulaptoppurple30dhs,h,s,
639,78,f,au,pc,aqua,7,d,78faupcaqua7dsm,s,m,
640,61,f,au,pc,aqua,8,d,61faupcaqua8dRP,R,P,
641,71,m,au,pc,green,7,d,71maupcgreen7dsb,s,b,
642,21,m,au,laptop,charcoal,3,d,21maulaptopcharcoal3dtp,t,p,
643,49,f,au,pc,aqua,13,d,49faupcaqua13dhk,h,k,
644,62,f,au,pc,green,22,b,62faupcgreen22brc,r,c,
645,55,f,au,ipad,blue,50,d,55fauipadblue50dMC,M,C,
646,57,m,au,pc,yellow,1,c,57maupcyellow1csi,s,i,
647,64,m,au,laptop,grey,55,d,64maulaptopgrey55dnp,n,p,
648,62,m,au,pc,blue,99,b,62maupcblue99bsc,s,c,
649,81,f,au,othertablet,blue,22,c,81fauothertabletblue22cSS,S,S,
650,75,f,au,pc,orange,77,c,75faupcorange77ctm,t,m,
651,69,f,au,ipad,yellow,11,pnts,69fauipadyellow11pntsDC,D,C,
652,67,m,au,laptop,purple,13,b,67maulaptoppurple13bNI,N,I,
653,60,m,au,galaxy,blue,4,c,60maugalaxyblue4cSS,S,S,
654,67,m,au,laptop,navy,52,d,67maulaptopnavy52dEm,E,m,
655,60,m,au,galaxy,blue,4,c,60maugalaxyblue4cSS,S,S,
656,78,f,au,ipad,yellow,10,d,78fauipadyellow10dNB,N,B,
657,53,m,eu,laptop,yellow,17,n,53meulaptopyellow17nzs,z,s,
658,69,f,au,ipad,yellow,11,pnts,69fauipadyellow11pntsDC,D,C,
659,59,f,au,laptop,purple,60,d,59faulaptoppurple60dsc,s,c,
660,56,f,au,pc,teal,33,b,56faupcteal33bpf,p,f,
661,60,m,au,laptop,red,7,n,60maulaptopred7nrp,r,p,
662,65,f,au,ipad,blue,37,d,65fauipadblue37dHP,H,P,
663,28,f,au,iphone,green,8,c,28fauiphonegreen8cBP,B,P,
664,30,f,au,galaxy,yellow,89,d,30faugalaxyyellow89dRC,R,C,
665,53,m,eu,ipad,purple,7,d,53meuipadpurple7dNC,N,C,
666,51,f,au,iphone,purple,17,b,51fauiphonepurple17bNC,N,C,
667,61,m,au,otherphone,red,6,d,61mauotherphonered6dEP,E,P,
668,62,f,au,galaxy,blue,19,b,62faugalaxyblue19bEC,E,C,
669,53,f,au,ipad,fuchsia,8,d,53fauipadfuchsia8dOC,O,C,
670,56,m,au,galaxy,blue,2,d,56maugalaxyblue2dNP,N,P,
671,56,m,au,ipad,blue,7,d,56mauipadblue7dNP,N,P,
672,62,m,au,pc,blue,13,d,62maupcblue13dsp,s,p,
673,65,f,au,pc,purple,11,c,65faupcpurple11cBM,B,M,
674,53,f,pnts,pnts,aqua,8,d,53fpntspntsaqua8dYM,Y,M,
